Season,Date,team
2012,"Friday, June 08, 2012",ARI
2012,"Saturday, June 09, 2012",ARI
2012,"Sunday, June 10, 2012",ARI
2012,"Monday, June 11, 2012",ARI
2012,"Tuesday, June 12, 2012",ARI
2012,"Wednesday, June 13, 2012",ARI
2012,"Thursday, June 14, 2012",ARI
2012,"Friday, June 15, 2012",ARI
2012,"Saturday, June 16, 2012",ARI
2012,"Sunday, June 17, 2012",ARI
2012,"Monday, June 18, 2012",ARI
2012,"Tuesday, June 19, 2012",ARI
2012,"Wednesday, June 20, 2012",ARI
2012,"Thursday, June 21, 2012",ARI
2012,"Friday, June 22, 2012",ARI
2012,"Saturday, June 23, 2012",ARI
2012,"Sunday, June 24, 2012",ARI
2012,"Monday, June 25, 2012",ARI
2012,"Tuesday, June 26, 2012",ARI
2012,"Wednesday, June 27, 2012",ARI
2012,"Thursday, June 28, 2012",ARI
2012,"Friday, June 29, 2012",ARI
2012,"Saturday, June 30, 2012",ARI
2012,"Sunday, July 01, 2012",ARI
2012,"Monday, July 02, 2012",ARI
2012,"Tuesday, July 03, 2012",ARI
2012,"Wednesday, July 04, 2012",ARI
2012,"Thursday, July 05, 2012",ARI
2012,"Friday, July 06, 2012",ARI
2012,"Saturday, July 07, 2012",ARI
2012,"Sunday, July 08, 2012",ARI
2012,"Monday, July 09, 2012",ARI
2012,"Tuesday, July 10, 2012",ARI
2012,"Wednesday, July 11, 2012",ARI
2012,"Thursday, July 12, 2012",ARI
2012,"Friday, July 13, 2012",ARI
2012,"Saturday, July 14, 2012",ARI
2012,"Sunday, July 15, 2012",ARI
2012,"Monday, July 16, 2012",ARI
2012,"Tuesday, July 17, 2012",ARI
2012,"Wednesday, July 18, 2012",ARI
2012,"Thursday, July 19, 2012",ARI
2012,"Friday, July 20, 2012",ARI
2012,"Saturday, July 21, 2012",ARI
2012,"Sunday, July 22, 2012",ARI
2012,"Monday, July 23, 2012",ARI
2012,"Tuesday, July 24, 2012",ARI
2012,"Wednesday, July 25, 2012",ARI
2012,"Thursday, July 26, 2012",ARI
2012,"Friday, July 27, 2012",ARI
2012,"Saturday, July 28, 2012",ARI
2012,"Sunday, July 29, 2012",ARI
2012,"Monday, July 30, 2012",ARI
2012,"Tuesday, July 31, 2012",ARI
