Season,Tm,NumBat,BatAge,PerBat,NumP,PAge,PerP,AvgAge
2009,TEX,44,27.8,0.656716418,23,27.7,0.343283582,27.76567164
2009,TOR,44,29.9,0.647058824,24,28.4,0.352941176,29.37058824
2009,WSN,55,28.4,0.647058824,30,27.4,0.352941176,28.04705882
2008,ARI,41,26.7,0.672131148,20,29.4,0.327868852,27.5852459
2008,ATL,49,27.1,0.636363636,28,28.6,0.363636364,27.64545455
2008,BAL,46,30,0.638888889,26,27.9,0.361111111,29.24166667
2008,BOS,47,29.7,0.671428571,23,29.2,0.328571429,29.53571429
2008,CHC,42,30,0.646153846,23,28.9,0.353846154,29.61076923
2008,CHW,39,30.4,0.672413793,19,28.3,0.327586207,29.71206897
2008,CIN,48,28.6,0.676056338,23,28.7,0.323943662,28.63239437
2008,CLE,49,27.7,0.636363636,28,28.6,0.363636364,28.02727273
2008,COL,49,27.5,0.653333333,26,28.5,0.346666667,27.84666667
2008,DET,46,30.3,0.647887324,25,29.9,0.352112676,30.15915493
2008,MIA,45,28,0.671641791,22,26.6,0.328358209,27.54029851
2008,HOU,41,31.1,0.672131148,20,30.9,0.327868852,31.03442623
2008,KCR,43,28,0.632352941,25,27.6,0.367647059,27.85294118
2008,LAA,41,28.9,0.683333333,19,27.6,0.316666667,28.48833333
2008,LAD,46,28.5,0.676470588,22,29.5,0.323529412,28.82352941
2008,MIL,44,28.6,0.6875,20,29.9,0.3125,29.00625
2008,MIN,40,26.4,0.677966102,19,27.5,0.322033898,26.75423729
2008,NYM,50,30.1,0.675675676,24,29,0.324324324,29.74324324
2008,NYY,51,31.2,0.653846154,27,30.6,0.346153846,30.99230769
2008,OAK,51,27.2,0.68,24,26.5,0.32,26.976
2008,PHI,40,30.1,0.689655172,18,30.6,0.310344828,30.25517241
2008,PIT,47,28.4,0.643835616,26,26.5,0.356164384,27.72328767
2008,SDP,59,28.9,0.648351648,32,30.2,0.351648352,29.35714286
