Season,Team,Mgr,Yrs,Prior Seasons Managed,From,To,W,L,W-L%,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Plyof App,Prior Playoff,Playoffs,WSwon,PennWon,ASG,playoff per season,career playoffs per season
2014,LAA,Mike Scioscia,15,14,2000,2014,1331,1099,0.548,232,2430,21,27,0.438,1,3,2,7,6,Y,1,1,1,0.428571429,0.466666667
2013,LAA,Mike Scioscia,15,13,2000,2014,1331,1099,0.548,232,2430,21,27,0.438,1,3,2,7,6,N,1,1,1,0.461538462,0.466666667
2012,LAA,Mike Scioscia,15,12,2000,2014,1331,1099,0.548,232,2430,21,27,0.438,1,3,2,7,6,N,1,1,1,0.5,0.466666667
2011,LAA,Mike Scioscia,15,11,2000,2014,1331,1099,0.548,232,2430,21,27,0.438,1,3,2,7,6,N,1,1,1,0.545454545,0.466666667
2010,LAA,Mike Scioscia,15,10,2000,2014,1331,1099,0.548,232,2430,21,27,0.438,1,3,2,7,6,N,1,1,1,0.6,0.466666667
2009,LAA,Mike Scioscia,15,9,2000,2014,1331,1099,0.548,232,2430,21,27,0.438,1,3,2,7,5,Y,1,1,1,0.555555556,0.466666667
2008,LAA,Mike Scioscia,15,8,2000,2014,1331,1099,0.548,232,2430,21,27,0.438,1,3,2,7,4,Y,1,1,1,0.5,0.466666667
2007,LAA,Mike Scioscia,15,7,2000,2014,1331,1099,0.548,232,2430,21,27,0.438,1,3,2,7,3,Y,1,1,1,0.428571429,0.466666667
2006,LAA,Mike Scioscia,15,6,2000,2014,1331,1099,0.548,232,2430,21,27,0.438,1,3,2,7,3,N,1,1,1,0.5,0.466666667
2005,LAA,Mike Scioscia,15,5,2000,2014,1331,1099,0.548,232,2430,21,27,0.438,1,3,2,7,2,Y,1,1,1,0.4,0.466666667
2004,LAA,Mike Scioscia,15,4,2000,2014,1331,1099,0.548,232,2430,21,27,0.438,1,3,2,7,1,Y,1,1,1,0.25,0.466666667
2014,LAD,Don Mattingly,4,3,2011,2014,354,293,0.547,61,647,6,8,0.429,1,3,1.7,2,1,Y,0,0,0,0.333333333,0.5
2013,LAD,Don Mattingly,4,2,2011,2014,354,293,0.547,61,647,6,8,0.429,1,3,1.7,2,0,Y,0,0,0,0,0.5
2012,LAD,Don Mattingly,4,1,2011,2014,354,293,0.547,61,647,6,8,0.429,1,3,1.7,2,0,N,0,0,0,0,0.5
2011,LAD,Don Mattingly,4,0,2011,2014,354,293,0.547,61,647,6,8,0.429,1,3,1.7,2,0,N,0,0,0,0,0.5
2010,LAD,Joe Torre HOF,29,28,1977,2010,2326,1997,0.538,329,4329,84,58,0.592,1,6,2.4,15,15,N,4,6,6,0.535714286,0.517241379
2009,LAD,Joe Torre HOF,29,27,1977,2010,2326,1997,0.538,329,4329,84,58,0.592,1,6,2.4,15,14,Y,4,6,6,0.518518519,0.517241379
2008,LAD,Joe Torre HOF,29,26,1977,2010,2326,1997,0.538,329,4329,84,58,0.592,1,6,2.4,15,13,Y,4,6,6,0.5,0.517241379
2007,LAD,Grady Little,4,3,2002,2007,358,290,0.552,68,648,6,9,0.4,2,4,2.5,2,2,N,0,0,0,0.666666667,0.5
2006,LAD,Grady Little,4,2,2002,2007,358,290,0.552,68,648,6,9,0.4,2,4,2.5,2,1,Y,0,0,0,0.5,0.5
2005,LAD,Jim Tracy,11,4,2001,2012,856,880,0.493,-24,1736,2,6,0.25,1,6,3.5,2,1,N,0,0,0,0.25,0.181818182
2004,LAD,Jim Tracy,11,3,2001,2012,856,880,0.493,-24,1736,2,6,0.25,1,6,3.5,2,0,Y,0,0,0,0,0.181818182
2014,MIA,Mike Redmond,2,1,2013,2014,139,185,0.429,-46,324,0,0,,4,5,4.5,0,0,N,0,0,0,0,0
2013,MIA,Mike Redmond,2,0,2013,2014,139,185,0.429,-46,324,0,0,,4,5,4.5,0,0,N,0,0,0,0,0
2012,MIA,Ozzie Guillen,9,8,2004,2012,747,710,0.513,37,1457,12,4,0.75,1,5,2.7,2,2,N,1,1,1,0.25,0.222222222
2011,MIA,Jack McKeon,16,15,1973,2011,1051,990,0.515,61,2042,11,6,0.647,2,7,3.3,1,1,N,1,1,1,0.066666667,0.0625
2010,MIA,Edwin Rodriguez,2,0,2010,2011,78,85,0.479,-7,163,0,0,,3,5,3.9,0,0,N,0,0,0,0,0
2009,MIA,Fredi Gonzalez,8,2,2007,2014,634,569,0.527,65,1203,1,4,0.2,1,5,2.5,2,0,N,0,0,0,0,0.25
2008,MIA,Fredi Gonzalez,8,1,2007,2014,634,569,0.527,65,1203,1,4,0.2,1,5,2.5,2,0,N,0,0,0,0,0.25
2007,MIA,Fredi Gonzalez,8,0,2007,2014,634,569,0.527,65,1203,1,4,0.2,1,5,2.5,2,0,N,0,0,0,0,0.25
2006,MIA,Joe Girardi,8,0,2006,2014,726,570,0.56,156,1296,21,17,0.553,1,4,2.1,4,0,N,1,1,1,0,0.5
2005,MIA,Jack McKeon,16,14,1973,2011,1051,990,0.515,61,2042,11,6,0.647,2,7,3.3,1,1,N,1,1,1,0.071428571,0.0625
2004,MIA,Jack McKeon,16,13,1973,2011,1051,990,0.515,61,2042,11,6,0.647,2,7,3.3,1,1,N,1,1,1,0.076923077,0.0625
2014,MIL,Ron Roenicke,4,3,2011,2014,335,313,0.517,22,648,5,6,0.455,1,4,2.8,1,1,N,0,0,0,0.333333333,0.25
2013,MIL,Ron Roenicke,4,2,2011,2014,335,313,0.517,22,648,5,6,0.455,1,4,2.8,1,1,N,0,0,0,0.5,0.25
2012,MIL,Ron Roenicke,4,1,2011,2014,335,313,0.517,22,648,5,6,0.455,1,4,2.8,1,1,N,0,0,0,1,0.25
2011,MIL,Ron Roenicke,4,0,2011,2014,335,313,0.517,22,648,5,6,0.455,1,4,2.8,1,0,Y,0,0,0,0,0.25
2010,MIL,Ken Macha,6,5,2003,2010,525,447,0.54,78,972,5,7,0.417,1,3,2,2,2,N,0,0,0,0.4,0.333333333
2009,MIL,Ken Macha,6,4,2003,2010,525,447,0.54,78,972,5,7,0.417,1,3,2,2,2,N,0,0,0,0.5,0.333333333
2008,MIL,Ned Yost,11,5,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2007,MIL,Ned Yost,11,4,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2006,MIL,Ned Yost,11,3,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2005,MIL,Ned Yost,11,2,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2004,MIL,Ned Yost,11,1,2003,2014,830,904,0.479,-74,1734,11,4,0.733,2,6,3.6,1,0,N,0,1,0,0,0.090909091
2014,MIN,Ron Gardenhire,13,12,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,6,N,0,0,0,0.5,0.461538462
2013,MIN,Ron Gardenhire,13,11,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,6,N,0,0,0,0.545454545,0.461538462
2012,MIN,Ron Gardenhire,13,10,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,6,N,0,0,0,0.6,0.461538462
2011,MIN,Ron Gardenhire,13,9,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,6,N,0,0,0,0.666666667,0.461538462
2010,MIN,Ron Gardenhire,13,8,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,5,Y,0,0,0,0.625,0.461538462
2009,MIN,Ron Gardenhire,13,7,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,4,Y,0,0,0,0.571428571,0.461538462
2008,MIN,Ron Gardenhire,13,6,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,4,N,0,0,0,0.666666667,0.461538462
2007,MIN,Ron Gardenhire,13,5,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,4,N,0,0,0,0.8,0.461538462
2006,MIN,Ron Gardenhire,13,4,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,3,Y,0,0,0,0.75,0.461538462
2005,MIN,Ron Gardenhire,13,3,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,3,N,0,0,0,1,0.461538462
2004,MIN,Ron Gardenhire,13,2,2002,2014,1068,1039,0.507,29,2107,6,21,0.222,1,5,2.5,6,2,Y,0,0,0,1,0.461538462
2014,NYM,Terry Collins,10,9,1994,2014,748,778,0.49,-30,1526,0,0,,2,4,2.7,0,0,N,0,0,0,0,0
2013,NYM,Terry Collins,10,8,1994,2014,748,778,0.49,-30,1526,0,0,,2,4,2.7,0,0,N,0,0,0,0,0
2012,NYM,Terry Collins,10,7,1994,2014,748,778,0.49,-30,1526,0,0,,2,4,2.7,0,0,N,0,0,0,0,0
2011,NYM,Terry Collins,10,6,1994,2014,748,778,0.49,-30,1526,0,0,,2,4,2.7,0,0,N,0,0,0,0,0
2010,NYM,Jerry Manuel,9,8,1998,2010,704,684,0.507,20,1390,0,3,0,1,4,2.5,1,1,N,0,0,0,0.125,0.111111111
2009,NYM,Jerry Manuel,9,7,1998,2010,704,684,0.507,20,1390,0,3,0,1,4,2.5,1,1,N,0,0,0,0.142857143,0.111111111
